Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3
01-01-2017,Hyderabad,61.25,100.46,7.54,39.37,8.27,15.38,0.25,6.08,69.11
02-01-2017,Hyderabad,47.21,80.12,9.69,52,10.85,24.87,0.33,20.73,47.61
03-01-2017,Hyderabad,65.45,132.09,11.01,58.68,13.66,18.06,0.31,22.99,50.37
04-01-2017,Hyderabad,116.03,197.89,12.2,58.2,12.48,26.16,0.15,37.31,56.42
05-01-2017,Hyderabad,96.21,162.27,10.97,57.6,13.18,36.67,0.14,25.88,45.66
06-01-2017,Hyderabad,75.89,147.99,12.09,69.76,15.64,23.85,0.14,34.18,36.8
07-01-2017,Hyderabad,63.83,104.25,10.37,37.49,9.45,16.18,0.15,7.83,58.44
08-01-2017,Hyderabad,62.34,100.56,10.32,34.38,8.88,15.23,0.143333333,3.21,52.76
09-01-2017,Hyderabad,51.67,80.46,10.08,30.24,11.37,13.47,0.141666667,3.56,60.3
10-01-2017,Hyderabad,61.42,112.53,7.05,36.21,8.33,11.94,0.14,6.6,53.49
11-01-2017,Hyderabad,82.34,168.93,11.85,49.71,14.9,19.45,0.138333333,29.68,49.64
12-01-2017,Hyderabad,115.47,212.64,11.78,55.94,13.1,30.92,0.136666667,55.61,51.68
13-01-2017,Hyderabad,108.41,166.25,10.43,49.01,11.51,26.15,0.135,16.8,43.54
14-01-2017,Hyderabad,73.75,114.17,10.06,38.15,9.48,20.75,0.133333333,7.78,47.92
15-01-2017,Hyderabad,81.72,120.38,9.88,39.02,9.59,17.64,0.131666667,3.77,42.95
16-01-2017,Hyderabad,83.39,140.24,14.4,52.77,12.14,19.03,0.13,21.93,30.43
17-01-2017,Hyderabad,64.14,116.31,10.96,49.49,11.74,17.53,0.128333333,5.32,32.75
18-01-2017,Hyderabad,54.56,81.16,10.06,34.26,8.81,14.66,0.126666667,4.16,58.14
19-01-2017,Hyderabad,67.09,109.2,10.09,38.78,9.6,14.4,0.125,3.76,66.33
20-01-2017,Hyderabad,76.51,135.24,10.68,49.29,11.62,15.32,0.123333333,9,55.29
21-01-2017,Hyderabad,69.51,137.83,19.01,63.8,16.45,18,0.121666667,7.19,48.08
22-01-2017,Hyderabad,60.61,111.85,10.06,49.44,16.53,15.71,0.12,6.68,53.25
23-01-2017,Hyderabad,83.79,150.97,10.65,52.58,19.39,20.72,0.118333333,13.58,53.54
24-01-2017,Hyderabad,71.49,148.62,10.19,50.58,11.72,19.98,0.116666667,12.35,53.29
25-01-2017,Hyderabad,76.94,144.81,10.14,47.79,11.21,18.46,0.115,9.19,58.67
26-01-2017,Hyderabad,64.21,108.56,9.54,32.92,8.41,14.62,0.113333333,4.04,75.82
27-01-2017,Hyderabad,56.14,100.4,9.47,41.9,10.18,15.15,0.111666667,7.88,51.86
28-01-2017,Hyderabad,68.79,131.75,8.46,43.74,7.53,18.29,0.11,12.09,43.59
29-01-2017,Hyderabad,85.73,157.28,10.5,53.72,12.36,28.21,0.108333333,34.99,49.54
30-01-2017,Hyderabad,62.96,124.01,19.88,60.35,16.06,25.86,0.106666667,19.96,56.94
31-01-2017,Hyderabad,54.98,115.66,10.14,46.64,16.51,17.73,0.105,12.33,53.74
01-02-2017,Hyderabad,44.56,87.45,10.32,35.7,9.92,16.81,0.103333333,5.74,74.98
02-02-2017,Hyderabad,52.36,96.1,10.06,37.44,9.36,16.25,0.101666667,3.48,68.59
03-02-2017,Hyderabad,58.81,109.98,9.92,42.23,10.17,16.49,0.1,8.29,76.03
04-02-2017,Hyderabad,68.29,141.85,10.64,52.03,12.26,17.59,0.098333333,13.7,82.95
05-02-2017,Hyderabad,56.73,117.29,9.79,45.95,10.79,18.65,0.096666667,11.04,98.75
06-02-2017,Hyderabad,64.14,136.36,17.54,52.4,8.17,17.5,0.095,18.17,61.34
07-02-2017,Hyderabad,93.54,188.21,8.44,60.66,11.41,26.73,0.093333333,25.9,42.44
08-02-2017,Hyderabad,83.13,163.13,7.1,51.31,8.72,22.71,0.091666667,17.22,45.33
09-02-2017,Hyderabad,70.3,134.14,8.62,45.89,10.47,19.35,0.09,7.48,50.11
10-02-2017,Hyderabad,64.97,108.1,8.71,35.98,7.61,15.93,0.088333333,5.02,67.42
11-02-2017,Hyderabad,41.77,105.1,6.28,27.85,3.04,13.23,0.086666667,1.8,64.54
12-02-2017,Hyderabad,39.67,102.1,9.79,32.34,4.54,12.49,0.085,3.08,47.55
13-02-2017,Hyderabad,42.59,99.1,10.9,24.07,3.31,16.5,0.083333333,23.86,79.28
14-02-2017,Hyderabad,62.32,115.04,10.84,35.19,9.17,18.65,0.081666667,10.09,57.4
15-02-2017,Hyderabad,66.1,129.76,13.81,40.94,12.43,17.52,0.08,10.89,38.79
